RAM,MEMORY,PIN,PRICE
1,16,3000,1850000
3,32,4000,2650000
4,64,5000,3350000
3,32,3300,3790000
3,32,5000,4250000
6,128,5000,4700000
4,64,4000,4150000
6,128,5000,5150000
8,128,4500,6600000
8,256,5000,10100000
8,128,4500,10500000
8,128,4100,12400000
8,256,4500,13650000
8,128,4500,12790000
8,128,4500,15500000
12,128,5000,16000000
12,256,4500,18990000
8,256,3300,19350000
8,256,3300,20990000
8,256,4800,23000000
12,256,4500,23000000
12,256,5000,29800000
12,512,5000,29990000
12,512,4400,33990000
